Id,Index,SubIndex,Access,Type,Length
457,2410,12,Read/Write,INTEGER32,32
458,2410,13,Read/Write,INTEGER32,32
459,2410,14,Read/Write,INTEGER32,32
460,2410,15,Read/Write,INTEGER32,32
461,2410,16,Read/Write,INTEGER32,32
462,2410,17,Read/Write,INTEGER32,32
463,2410,18,Read/Write,INTEGER32,32
464,2410,19,Read/Write,INTEGER32,32
465,2410,1A,Read/Write,INTEGER32,32
466,2410,1B,Read/Write,INTEGER32,32
467,2410,1C,Read/Write,INTEGER32,32
468,2410,1D,Read/Write,INTEGER32,32
469,2410,1E,Read/Write,INTEGER32,32
470,2410,1F,Read/Write,INTEGER32,32
471,2410,20,Read/Write,INTEGER32,32
472,2500,00,Read,UNSIGNED8,8
473,2500,01,Read/Write,INTEGER32,32
474,2500,02,Read/Write,INTEGER32,32
475,2500,03,Read/Write,INTEGER32,32
476,2500,04,Read/Write,INTEGER32,32
477,2500,05,Read/Write,INTEGER32,32
478,2500,06,Read/Write,INTEGER32,32
479,2500,07,Read/Write,INTEGER32,32
480,2500,08,Read/Write,INTEGER32,32
481,2500,09,Read/Write,INTEGER32,32
482,2500,0A,Read/Write,INTEGER32,32
483,2500,0B,Read/Write,INTEGER32,32
484,2500,0C,Read/Write,INTEGER32,32
485,2500,0D,Read/Write,INTEGER32,32
486,2500,0E,Read/Write,INTEGER32,32
487,2500,0F,Read/Write,INTEGER32,32
488,2500,10,Read/Write,INTEGER32,32
489,2500,11,Read/Write,INTEGER32,32
490,2500,12,Read/Write,INTEGER32,32
491,2500,13,Read/Write,INTEGER32,32
492,2500,14,Read/Write,INTEGER32,32
493,2500,15,Read/Write,INTEGER32,32
494,2500,16,Read/Write,INTEGER32,32
495,2500,17,Read/Write,INTEGER32,32
496,2500,18,Read/Write,INTEGER32,32
497,2500,19,Read/Write,INTEGER32,32
498,2500,1A,Read/Write,INTEGER32,32
499,2500,1B,Read/Write,INTEGER32,32
500,2500,1C,Read/Write,INTEGER32,32
501,2500,1D,Read/Write,INTEGER32,32
502,2500,1E,Read/Write,INTEGER32,32
503,2500,1F,Read/Write,INTEGER32,32
504,2500,20,Read/Write,INTEGER32,32
505,2600,00,Read/Write,UNSIGNED8,8
506,2600,01,Read,UNSIGNED8,8
507,2600,02,Read,UNSIGNED8,8
508,2600,03,Read,UNSIGNED8,8
509,2600,04,Read,UNSIGNED8,8
510,2600,05,Read,UNSIGNED8,8
511,2600,06,Read,UNSIGNED8,8
512,2600,07,Read,UNSIGNED8,8
513,2600,08,Read,UNSIGNED8,8
514,2600,09,Read,UNSIGNED8,8
515,2600,0A,Read,UNSIGNED8,8
516,2600,0B,Read,UNSIGNED8,8
